
"Název procesu","PID","Název relace","Číslo relace","Využití paměti"
"System Idle Process","0","Console","0","16 kB"
"System","4","Console","0","212 kB"
"smss.exe","376","Console","0","372 kB"
"csrss.exe","524","Console","0","3 792 kB"
"winlogon.exe","548","Console","0","10 620 kB"
"services.exe","608","Console","0","5 168 kB"
"lsass.exe","620","Console","0","5 796 kB"
"VBoxService.exe","824","Console","0","2 624 kB"
"svchost.exe","840","Console","0","4 680 kB"
"svchost.exe","912","Console","0","3 852 kB"
"svchost.exe","1004","Console","0","30 116 kB"
"svchost.exe","1052","Console","0","3 032 kB"
"svchost.exe","1100","Console","0","4 128 kB"
"spoolsv.exe","1416","Console","0","4 192 kB"
"explorer.exe","1648","Console","0","14 076 kB"
"VBoxTray.exe","1740","Console","0","2 424 kB"
"jusched.exe","1776","Console","0","4 628 kB"
"ctfmon.exe","1784","Console","0","2 964 kB"
"soffice.exe","1832","Console","0","1 892 kB"
"soffice.bin","1844","Console","0","46 472 kB"
"jqs.exe","1976","Console","0","1 384 kB"
"alg.exe","1280","Console","0","3 232 kB"
"wscntfy.exe","2036","Console","0","2 156 kB"
"wmiapsrv.exe","1480","Console","0","4 128 kB"
"wmiprvse.exe","1560","Console","0","4 440 kB"
"cmd.exe","2068","Console","0","2 384 kB"
"wuauclt.exe","2736","Console","0","23 572 kB"
"AdobeARM.exe","2404","Console","0","6 792 kB"
"wuauclt.exe","2476","Console","0","3 712 kB"
"wmiprvse.exe","3864","Console","0","5 472 kB"
"tasklist.exe","3956","Console","0","4 168 kB"
